outcome	exposure	nsnp	method	b	se	or	cil	ciu	pval
OPC+OC	HMGCR	5	MR Egger	0.287328312	1.527040083	1.33	0.07	26.58	0.86
OPC+OC	HMGCR	5	Weighted median	0.180275532	0.328331663	1.2	0.63	2.28	0.58
OPC+OC	HMGCR	5	Inverse variance weighted	0.063277001	0.279579524	1.07	0.62	1.84	0.82
OPC+OC	HMGCR	5	Weighted mode	0.179243108	0.376504114	1.2	0.57	2.5	0.66
OPC	HMGCR	5	MR Egger	-0.262727087	2.077000764	0.77	0.01	45.07	0.91
OPC	HMGCR	5	Weighted median	0.005649167	0.431362458	1.01	0.43	2.34	0.99
OPC	HMGCR	5	Inverse variance weighted	-0.108747712	0.369329014	0.9	0.43	1.85	0.77
OPC	HMGCR	5	Weighted mode	0.074475769	0.457674376	1.08	0.44	2.64	0.88
OC	HMGCR	5	MR Egger	0.226622194	1.936323337	1.25	0.03	55.8	0.91
OC	HMGCR	5	Weighted median	0.504928013	0.421273028	1.66	0.73	3.78	0.23
OC	HMGCR	5	Inverse variance weighted	0.400912004	0.349865124	1.49	0.75	2.96	0.25
OC	HMGCR	5	Weighted mode	0.524369558	0.490712428	1.69	0.65	4.42	0.35
