outcome,exposure,nsnp,method,b,se,or,cil,ciu,pval
OPC+OC,LDLR,3,MR Egger,-0.107833408,0.394582793,0.9,0.41,1.95,0.83
OPC+OC,LDLR,3,Weighted median,-0.341318855,0.211068514,0.71,0.47,1.08,0.11
OPC+OC,LDLR,3,Inverse variance weighted,-0.4282351,0.220802198,0.65,0.42,1,0.05
OPC+OC,LDLR,3,Weighted mode,-0.305352907,0.228173924,0.74,0.47,1.15,0.31
OPC,LDLR,3,MR Egger,0.44740567,0.455465784,1.56,0.64,3.82,0.51
OPC,LDLR,3,Weighted median,-0.091994611,0.262630067,0.91,0.55,1.53,0.73
OPC,LDLR,3,Inverse variance weighted,-0.107282224,0.267699171,0.9,0.53,1.52,0.69
OPC,LDLR,3,Weighted mode,0.076863697,0.284754745,1.08,0.62,1.89,0.81
OC,LDLR,3,MR Egger,-0.579544396,0.584497078,0.56,0.18,1.76,0.5
OC,LDLR,3,Weighted median,-0.577663003,0.283685361,0.56,0.32,0.98,0.04
OC,LDLR,3,Inverse variance weighted,-0.634964224,0.252175571,0.53,0.32,0.87,0.01
OC,LDLR,3,Weighted mode,-0.553728926,0.304650826,0.57,0.32,1.04,0.21
