outcome	exposure	nsnp	method	b	se	or	cil	ciu	pval
OPC+OC	NPC1L1	5	MR Egger	-1.527923894	3.141341975	0.22	0	102.42	0.66
OPC+OC	NPC1L1	5	Weighted median	-0.106187622	0.583473281	0.9	0.29	2.82	0.86
OPC+OC	NPC1L1	5	Inverse variance weighted	0.009166541	0.500860092	1.01	0.38	2.69	0.99
OPC+OC	NPC1L1	5	Weighted mode	-0.152671889	0.651588149	0.86	0.24	3.08	0.83
OPC	NPC1L1	5	MR Egger	-1.632710327	4.16712944	0.2	0	688.74	0.72
OPC	NPC1L1	5	Weighted median	-0.515128703	0.829292897	0.6	0.12	3.04	0.53
OPC	NPC1L1	5	Inverse variance weighted	-0.51080527	0.675183894	0.6	0.16	2.25	0.45
OPC	NPC1L1	5	Weighted mode	-0.505895684	0.930251177	0.6	0.1	3.73	0.62
OC	NPC1L1	5	MR Egger	-2.461391903	3.84735623	0.09	0	160.68	0.57
OC	NPC1L1	5	Weighted median	0.183034246	0.733102312	1.2	0.29	5.05	0.8
OC	NPC1L1	5	Inverse variance weighted	0.016262162	0.617064343	1.02	0.3	3.41	0.98
OC	NPC1L1	5	Weighted mode	0.251355246	0.893354001	1.29	0.22	7.41	0.79
