outcome	exposure	nsnp	method	b	se	or	cil	ciu	pval
OPC+OC	PCSK9	6	MR Egger	0.605468529	1.21956612	1.83	0.17	20	0.65
OPC+OC	PCSK9	6	Weighted median	0.79320719	0.312199325	2.21	1.2	4.08	0.01
OPC+OC	PCSK9	6	Inverse variance weighted	0.717434	0.255842297	2.05	1.24	3.38	0.01
OPC+OC	PCSK9	6	Weighted mode	0.78469154	0.506896837	2.19	0.81	5.92	0.18
OPC	PCSK9	6	MR Egger	0.687168249	1.957103898	1.99	0.04	92.12	0.74
OPC	PCSK9	6	Weighted median	1.159374725	0.419558338	3.19	1.4	7.26	0.01
OPC	PCSK9	6	Inverse variance weighted	1.248986239	0.402931652	3.49	1.58	7.68	0
OPC	PCSK9	6	Weighted mode	1.00376586	0.591335948	2.73	0.86	8.7	0.15
OC	PCSK9	6	MR Egger	0.773356486	1.375835783	2.17	0.15	32.14	0.6
OC	PCSK9	6	Weighted median	0.588459828	0.356576128	1.8	0.9	3.62	0.1
OC	PCSK9	6	Inverse variance weighted	0.482838197	0.30422167	1.62	0.89	2.94	0.11
OC	PCSK9	6	Weighted mode	0.694932297	0.513193201	2	0.73	5.48	0.23
