,mr_results_hnc$outcome,mr_results_hnc$exposure,mr_results_hnc$nsnp,mr_results_hnc$method,mr_results_hnc$b,mr_results_hnc$se,mr_results_hnc$or,mr_results_hnc$cil,mr_results_hnc$ciu,mr_results_hnc$pval
1,outcome,PCSK9,6,MR Egger,0.773356486,1.375835783,2.17,0.15,32.14,0.6
2,outcome,PCSK9,6,Weighted median,0.588459828,0.356576128,1.8,0.9,3.62,0.1
3,outcome,PCSK9,6,Inverse variance weighted,0.482838197,0.30422167,1.62,0.89,2.94,0.11
4,outcome,PCSK9,6,Simple mode,0.725228352,0.494812461,2.07,0.78,5.45,0.2
5,outcome,PCSK9,6,Weighted mode,0.694932297,0.513193201,2,0.73,5.48,0.23
6,outcome,NPC1L1,5,MR Egger,-2.461391903,3.84735623,0.09,0,160.68,0.57
7,outcome,NPC1L1,5,Weighted median,0.183034246,0.733102312,1.2,0.29,5.05,0.8
8,outcome,NPC1L1,5,Inverse variance weighted,0.016262162,0.617064343,1.02,0.3,3.41,0.98
9,outcome,NPC1L1,5,Simple mode,0.171915307,1.011561517,1.19,0.16,8.62,0.87
10,outcome,NPC1L1,5,Weighted mode,0.251355246,0.893354001,1.29,0.22,7.41,0.79
11,outcome,CETP,6,MR Egger,-0.861745274,2.217113558,0.42,0.01,32.58,0.72
12,outcome,CETP,6,Weighted median,0.52751868,0.520441534,1.69,0.61,4.7,0.31
13,outcome,CETP,6,Inverse variance weighted,0.499066279,0.437100621,1.65,0.7,3.88,0.25
14,outcome,CETP,6,Simple mode,0.602906948,0.76450777,1.83,0.41,8.18,0.47
15,outcome,CETP,6,Weighted mode,0.491345815,0.652659997,1.63,0.45,5.87,0.49
16,outcome,HMGCR,5,MR Egger,0.226622194,1.936323337,1.25,0.03,55.8,0.91
17,outcome,HMGCR,5,Weighted median,0.504928013,0.421273028,1.66,0.73,3.78,0.23
18,outcome,HMGCR,5,Inverse variance weighted,0.400912004,0.349865124,1.49,0.75,2.96,0.25
19,outcome,HMGCR,5,Simple mode,0.543750843,0.532298496,1.72,0.61,4.89,0.36
20,outcome,HMGCR,5,Weighted mode,0.524369558,0.490712428,1.69,0.65,4.42,0.35
21,outcome,LDLR,3,MR Egger,-0.579544396,0.584497078,0.56,0.18,1.76,0.5
22,outcome,LDLR,3,Weighted median,-0.577663003,0.283685361,0.56,0.32,0.98,0.04
23,outcome,LDLR,3,Inverse variance weighted,-0.634964224,0.252175571,0.53,0.32,0.87,0.01
24,outcome,LDLR,3,Simple mode,-0.425040359,0.408354185,0.65,0.29,1.46,0.41
25,outcome,LDLR,3,Weighted mode,-0.553728926,0.304650826,0.57,0.32,1.04,0.21
