"","outcome","exposure","method","Q","Q_df","Q_pval"
"1","HNC","HMGCR","IVW",1.21576971070033,4,0.875495476066462
"2","HNC","HMGCR","MR Egger",1.21565942748769,3,0.749251036339208
"3","HNC","NPC1L1","IVW",1.08806647346372,4,0.89616094234893
"4","HNC","NPC1L1","MR Egger",0.489796960628316,3,0.921127188704101
"5","HNC","PCSK9","IVW",1.28620354163808,5,0.936344901173433
"6","HNC","PCSK9","MR Egger",1.24706489211007,4,0.870290557943478
"7","HNC","LDLR","IVW",1.97756706727352,2,0.372028976607365
"8","HNC","LDLR","MR Egger",1.91612206945772,1,0.166284792070548
"9","HNC","CETP","IVW",3.57949085123146,5,0.611395257583058
"10","HNC","CETP","MR Egger",3.51324755604676,4,0.475866885614765
