"","outcome","exposure","method","Q","Q_df","Q_pval"
"1","HNC","HMGCR","IVW",NA,NA,NA
"2","HNC","HMGCR","MR Egger",3.18911715858129,3,0.363375999195706
"3","HNC","NPC1L1","IVW",NA,NA,NA
"4","HNC","NPC1L1","MR Egger",1.61607732620841,3,0.655749913139762
"5","HNC","PCSK9","IVW",NA,NA,NA
"6","HNC","PCSK9","MR Egger",7.31909774661641,4,0.119956003832064
"7","HNC","LDLR","IVW",NA,NA,NA
"8","HNC","LDLR","MR Egger",0.00436158623158904,1,0.947344143337887
"9","HNC","CETP","IVW",NA,NA,NA
"10","HNC","CETP","MR Egger",2.19920670374646,4,0.699174514342362
