"","outcome","exposure","method","b","se","pval","or","cil","ciu"
"1","HNC","HMGCR","ivw",NA,NA,NA,NA,NA,NA
"2","HNC","HMGCR","egger",0.0883363775765427,1.76164982916309,0.960007542555103,1.09235550413239,0.0345793952406439,34.5072705611059
"3","HNC","HMGCR","median",NA,NA,NA,NA,NA,NA
"4","HNC","NPC1L1","ivw",NA,NA,NA,NA,NA,NA
"5","HNC","NPC1L1","egger",-1.17201084217195,5.09740722708939,0.818151652384678,0.309743469393058,1.41906252184355e-05,6760.87313665421
"6","HNC","NPC1L1","median",NA,NA,NA,NA,NA,NA
"7","HNC","PCSK9","ivw",NA,NA,NA,NA,NA,NA
"8","HNC","PCSK9","egger",0.521292904996415,1.63297250264552,0.74955253058792,1.68420375809887,0.0686088872982542,41.3436569298003
"9","HNC","PCSK9","median",NA,NA,NA,NA,NA,NA
"10","HNC","LDLR","ivw",NA,NA,NA,NA,NA,NA
"11","HNC","LDLR","egger",0.443438468982538,6.57235365844534,0.946207330015002,1.55805534353288,3.96353322655166e-06,612467.794454031
"12","HNC","LDLR","median",NA,NA,NA,NA,NA,NA
"13","HNC","CETP","ivw",NA,NA,NA,NA,NA,NA
"14","HNC","CETP","egger",0.482983259459866,2.66164751837371,0.85600632062912,1.62090276999707,0.00879259071324911,298.811337348525
"15","HNC","CETP","median",NA,NA,NA,NA,NA,NA
