"","mr_results_hnc$outcome","mr_results_hnc$exposure","mr_results_hnc$nsnp","mr_results_hnc$method","mr_results_hnc$b","mr_results_hnc$se","mr_results_hnc$pval","mr_results_hnc$or","mr_results_hnc$cil","mr_results_hnc$ciu"
"1","outcome","HDL cholesterol || id:ieu-a-299",85,"MR Egger",-0.156856196286722,0.195797119765403,0.425351928080728,0.85482697727295,0.582387904302377,1.25471211828983
"2","outcome","HDL cholesterol || id:ieu-a-299",85,"Weighted median",0.137526829037904,0.150073071429542,0.359457602157355,1.14743249006888,0.855031993913166,1.53982696394796
"3","outcome","HDL cholesterol || id:ieu-a-299",85,"Inverse variance weighted",0.0782850258740386,0.10276044607332,0.446167076895824,1.08143085052005,0.884152740030614,1.32272698087893
"4","outcome","HDL cholesterol || id:ieu-a-299",85,"Simple mode",0.251292730284383,0.296706417118695,0.399434748378734,1.28568638859284,0.718742697251264,2.2998348312053
"5","outcome","HDL cholesterol || id:ieu-a-299",85,"Weighted mode",0.110713691853121,0.159708837956887,0.490082544177626,1.11707503338272,0.816837068523252,1.52766895418077
"6","outcome","LDL cholesterol || id:ieu-a-300",77,"MR Egger",-0.0208046627236092,0.112914817165314,0.854313869428344,0.979410261218064,0.784963778448896,1.22202385143773
"7","outcome","LDL cholesterol || id:ieu-a-300",77,"Weighted median",-0.189826790197108,0.113084756129978,0.0932253383287851,0.827102383777732,0.662673471109956,1.03233097909437
"8","outcome","LDL cholesterol || id:ieu-a-300",77,"Inverse variance weighted",-0.0115786472263244,0.0768644846012181,0.880261950918205,0.988488127341272,0.850243043325574,1.14921114093785
"9","outcome","LDL cholesterol || id:ieu-a-300",77,"Simple mode",-0.113981482327558,0.231153976485708,0.623365377555375,0.89227447857595,0.567200015611995,1.40365607052911
"10","outcome","LDL cholesterol || id:ieu-a-300",77,"Weighted mode",-0.169969076633657,0.118385734374896,0.155184480298028,0.843690905955962,0.668977323187951,1.06403359294857
"11","outcome","Total cholesterol || id:ieu-a-301",82,"MR Egger",0.0342795402695944,0.130567502960254,0.793578006152678,1.03487385521442,0.801209542074788,1.33668390098427
"12","outcome","Total cholesterol || id:ieu-a-301",82,"Weighted median",0.0237261647285333,0.130702532136187,0.855953184575427,1.02400986947345,0.792588745134079,1.32300164393785
"13","outcome","Total cholesterol || id:ieu-a-301",82,"Inverse variance weighted",0.0846915377098072,0.0818121234473126,0.300577644612448,1.08838129032847,0.927131169739323,1.27767663497941
"14","outcome","Total cholesterol || id:ieu-a-301",82,"Simple mode",-0.0792360317776408,0.262485352826863,0.76352608688354,0.923821847396678,0.552276018967974,1.54532656935246
"15","outcome","Total cholesterol || id:ieu-a-301",82,"Weighted mode",0.00570110707742622,0.113638341472534,0.960111326392784,1.00571738931594,0.804905787794076,1.25662839367137
"16","outcome","Triglycerides || id:ieu-a-302",54,"MR Egger",0.190821323201566,0.170052428821502,0.26696103256404,1.21024319038282,0.86720365179398,1.68897879620085
"17","outcome","Triglycerides || id:ieu-a-302",54,"Weighted median",0.166676938861677,0.159059754861115,0.294689833724816,1.18137254809251,0.864952937827595,1.61354570445401
"18","outcome","Triglycerides || id:ieu-a-302",54,"Inverse variance weighted",0.17004034114066,0.105928243276339,0.108440815185952,1.1853526688346,0.963118313264767,1.4588664031841
"19","outcome","Triglycerides || id:ieu-a-302",54,"Simple mode",0.213537975329161,0.256845445385933,0.409485085789229,1.23805051275112,0.748354039888363,2.04818707513355
"20","outcome","Triglycerides || id:ieu-a-302",54,"Weighted mode",0.193346048015896,0.147231942497581,0.194770359087169,1.2133025818326,0.909165112596371,1.61918130676798
"21","outcome","Apolipoprotein A-I || id:met-c-842",9,"MR Egger",-0.026842301284816,0.304124860645344,0.932141368900532,0.973514751445376,0.536372161253958,1.76692796484086
"22","outcome","Apolipoprotein A-I || id:met-c-842",9,"Weighted median",-0.0870129876410907,0.139251472142151,0.532061472963541,0.91666519023735,0.69771409019185,1.20432578731759
"23","outcome","Apolipoprotein A-I || id:met-c-842",9,"Inverse variance weighted",-0.104873336593048,0.109324548662755,0.337415480393879,0.900438567980196,0.726766924439364,1.11561160454802
"24","outcome","Apolipoprotein A-I || id:met-c-842",9,"Simple mode",-0.158392439937508,0.190518049917253,0.429874331769227,0.853514762955125,0.587541840413062,1.23989033712083
"25","outcome","Apolipoprotein A-I || id:met-c-842",9,"Weighted mode",-0.0797234448640431,0.145387856742601,0.59841597334429,0.923371674257804,0.694416298840082,1.22781572126954
"26","outcome","Apolipoprotein B || id:met-c-843",14,"MR Egger",0.0406365413381982,0.225630053910111,0.860077705970794,1.04147350418054,0.669249486187563,1.62072154300633
"27","outcome","Apolipoprotein B || id:met-c-843",14,"Weighted median",0.0476540805119145,0.120836876342023,0.693310078856306,1.04880778951326,0.827632389581022,1.32908981474318
"28","outcome","Apolipoprotein B || id:met-c-843",14,"Inverse variance weighted",0.139245374432094,0.132419879087542,0.293008655774459,1.14940610027346,0.886656538592758,1.4900182041658
"29","outcome","Apolipoprotein B || id:met-c-843",14,"Simple mode",0.774340582954589,0.312892460429544,0.0278826224674622,2.16916127355263,1.1747687979265,4.0052652394117
"30","outcome","Apolipoprotein B || id:met-c-843",14,"Weighted mode",-0.0110962220092454,0.136470357199385,0.936434975510891,0.988965113986627,0.756859137999833,1.2922510247644
